name,capacity_mls,capacity_total,capacity_exandable_to,attendance_record,surface,city,state,country
Allianz Field (Saint Paul- Minnesota),19400,,,,grass,St. Paul,Minnesota,USA
Audi Field,20000,,,,grass,Washington,D.C.,USA
Audi Field (Washington- District of Columbia),20000,,,,grass,Washington,D.C.,USA
Avaya Stadium,18000,,,,grass,San Jose,California,USA
Avaya Stadium (San Jose- California),18000,,,,grass,San Jose,California,USA
Banc of California Stadium,22000,,,,grass,Los Angeles,California,USA
Banc of California Stadium (Los Angeles- California),22000,,,,grass,Los Angeles,California,USA
BBVA Compass Stadium,22039,,,,grass,Houston,Texas,USA
BBVA Compass Stadium (Houston- Texas),22039,,,,grass,Houston,Texas,USA
BBVA Stadium (Houston- Texas),22039,,,,grass,Houston,Texas,USA
BC Place Stadium,22120,54500,,,turf,Vancouver,British Columbia,Canada
BC Place Stadium (Vancouver- British Columbia),22120,54500,,,turf,Vancouver,British Columbia,Canada
BMO Field,30000,,40000,40148,hybrid grass,Toronto,Ontario,Canada
BMO Field (Toronto- Ontario),30000,,40000,40148,hybrid grass,Toronto,Ontario,Canada
Bobby Dodd Stadium,55000,,,60316,grass,Atlanta,Georgia,USA
Buck Shaw Stadium (Santa Clara- California),10525,,,,grass,Santa Clara,California,USA
Camping World Stadium (Orlando- Florida),19500,60219,65194,75245,turf,Orlando,Florida,USA
CenturyLink Field,37722,68740,72000,69274,turf,Seattle,Washington,USA
CenturyLink Field (Seattle- Washington),37722,68740,72000,69274,turf,Seattle,Washington,USA
Children's Mercy Park,18467,,,,grass,Kansas City,Kansas,USA
Children's Mercy Park (Kansas City- Kansas),18467,,,,grass,Kansas City,Kansas,USA
Citi Field (New York- New York),41922,,,45186,grass,Queens,New York,USA
Dick's Sporting Goods Park,18061,,,,grass,Commerce City,Colorado,USA
Dick's Sporting Goods Park (Denver- Colorado),18061,,,,grass,Commerce City,Colorado,USA
Dignity Health Sports Park (Carson- California),27000,,,,grass,Carson,California,USA
Exploria Stadium (Orlando- Florida),25500,,,,grass,Orlando,Florida,USA
FedEx Field (Landover- Maryland),82000,,,,grass,Landover,Maryland,USA
Gillette Stadium,20000,65878,,,turf,Foxborough,Massachusetts,USA
Gillette Stadium (Foxborough- Massachusetts),20000,65878,,,turf,Foxborough,Massachusetts,USA
Levi's Stadium (Santa Clara- California),68500,,75000,76976,grass,Santa Clara,California,USA
MAPFRE Stadium,19968,,,,grass,Columbus,Ohio,USA
MAPFRE Stadium (Columbus- Ohio),19968,,,,grass,Columbus,Ohio,USA
Maureen Hendricks Field Maryland SoccerPlex (Germantown- Maryland),4000,,,,turf,Montgomery County,Maryland,USA
Mercedes-Benz Stadium,73019,78347,,,turf,Atlanta,Georgia,USA
Mercedes-Benz Stadium (Atlanta- Georgia),73019,78347,,,turf,Atlanta,Georgia,USA
Mercedes-Benz Superdome (New Orleans- Louisiana),73208,76468,,78133,turf,New Orleans,Louisiana,USA
Navy–Marine Corps Memorial Stadium (Annapolis- Maryland),34000,,,38792,grass,Annapolis,Maryland,USA
Nippert Stadium (Cincinnati- Ohio),32250,40000,,40124,turf,Cincinnati,Ohio,USA
Orlando City Stadium,25500,,,,grass,Orlando,Florida,USA
Pratt & Whitney Stadium at Rentschler Field (East Hartford- Connecticut),38066,42702,40000,42704,grass,Hartford,Connecticut,USA
Providence Park,25218,,,,turf,Portland,Oregon,USA
Providence Park (Portland- Oregon),25218,,,,turf,Portland,Oregon,USA
Red Bull Arena,25000,,,,grass,Harrison,New Jersey,USA
Red Bull Arena (Harrison- New Jersey),25000,,,,grass,Harrison,New Jersey,USA
Rio Tinto Stadium,20213,,,,grass,Sandy,Utah,USA
Rio Tinto Stadium (Sandy- Utah),20213,,,,grass,Sandy,Utah,USA
Robert F. Kennedy Memorial Stadium,20000,45596,,,grass,Washington,D.C.,USA
Rogers Centre (Toronto- Ontario),47568,54000,,68237,turf,Toronto,Ontario,Canada
SeatGeek Stadium (Bridgeview- Illinois),20000,,,,grass,Bridgeview,Illinois,USA
Stade Olympique (Montréal- QC),61004,66308,,,turf,Montreal,Quebec,Canada
Stade Saputo,19619,,,,grass,Montreal,Quebec,Canada
Stade Saputo (Montreal- Quebec),19619,,,,grass,Montreal,Quebec,Canada
Stanford Stadium (Stanford- California),50424,,,,grass,Stanford,California,USA
Stubhub Center,27000,,,,grass,Carson,California,USA
Talen Energy Stadium,18500,,,,grass,Chester,Pennsylvania,USA
Talen Energy Stadium (Chester- Pennsylvania),18500,,,,grass,Chester,Pennsylvania,USA
TCF Bank Stadium,50805,,,54147,turf,Minneapolis,Minnesota,USA
Toyota Park,20000,,,,grass,Bridgeview,Illinois,USA
Toyota Stadium,20500,,,,grass,Frisco,Texas,USA
Toyota Stadium (Frisco- Texas),20500,,,,grass,Frisco,Texas,USA
Yankee Stadium,28743,54251,47309,54251,grass,The Bronx,New York,USA
Yankee Stadium (New York City),28743,54251,47309,54251,grass,The Bronx,New York,USA
